x,y,t
-3.525279805320563e-14,1.5868793339738186e-14,1779854562.486714
-3.5359468297673275e-14,1.5930493648402834e-14,1779854562.5469427
-3.546580201168232e-14,1.5991959062299568e-14,1779854562.5868995
-3.557236087045127e-14,1.6053514442728086e-14,1779854562.6469448
-3.567904639758012e-14,1.6115102705205466e-14,1779854562.686694
-3.578561573057476e-14,1.617658361612627e-14,1779854562.7467964
-3.589224922686694e-14,1.6238061308784866e-14,1779854562.7868297
-3.599866324667013e-14,1.6299372309685338e-14,1779854562.8468966
-3.6105436760032903e-14,1.6360850245249816e-14,1779854562.8871045
-3.623758835627206e-14,1.6450522562334927e-14,1779854562.947079
-3.6312612453125555e-14,1.6493955453060493e-14,1779854562.986915
-3.641930856825434e-14,1.655570008139893e-14,1779854563.0471723
-3.6525606976758087e-14,1.6617180845414513e-14,1779854563.0868282
-3.663212716677098e-14,1.6678756239595915e-14,1779854563.1467276
-3.673865789336489e-14,1.6740304021310186e-14,1779854563.1871357
-3.6845411010011656e-14,1.6801946525064066e-14,1779854563.247259
-3.695193740928117e-14,1.6863424367450153e-14,1779854563.2869759
-3.705853987291546e-14,1.6924912421256814e-14,1779854563.3470392
-3.716515031210971e-14,1.6986371376239026e-14,1779854563.3870735
-3.727154606589688e-14,1.7047672949070073e-14,1779854563.4467337
-3.737831272022313e-14,1.7109154566593798e-14,1779854563.4866924
-3.748494651412598e-14,1.7170525959464825e-14,1779854563.546739
-3.759138076157319e-14,1.7231748908350673e-14,1779854563.5868125
-3.769807719234417e-14,1.7293089065768413e-14,1779854563.646819
-3.780496519446298e-14,1.735450562458951e-14,1779854563.6867456
-3.7911488256716016e-14,1.74156788283043e-14,1779854563.7469513
-3.801833211269301e-14,1.7477002617455916e-14,1779854563.7869604
-3.812493099225656e-14,1.7538152153059736e-14,1779854563.8468456
-3.8231776441154464e-14,1.7599409496692374e-14,1779854563.8868828
-3.8267521375192863e-14,1.7636364129775766e-14,1779854563.9071405
-3.8331467898451924e-14,1.7673308684904092e-14,1779854563.946825
-3.8437861792985605e-14,1.773476141372609e-14,1779854563.9868128
-3.854448578493777e-14,1.7796321322618592e-14,1779854564.0470204
-3.8651107724105574e-14,1.7857854275906472e-14,1779854564.0868468
-3.875774335651703e-14,1.7919369366605364e-14,1779854564.146783
-3.8864311361656265e-14,1.7980819701004384e-14,1779854564.1867726
-3.897073241818918e-14,1.8042159616217605e-14,1779854564.2467744
-3.907733943741405e-14,1.8103581032726026e-14,1779854564.2867365
-3.9183954023774593e-14,1.8164981084827214e-14,1779854564.3468058
-3.929070633546146e-14,1.8226434702669496e-14,1779854564.3867283
-3.9397232321511137e-14,1.8287732310920115e-14,1779854564.4467254
-3.950400536840248e-14,1.8349146365217978e-14,1779854564.486852
-3.9610578989021894e-14,1.8410419990741465e-14,1779854564.5468543
-3.9717252715088504e-14,1.847172548087881e-14,1779854564.5867708
-3.9823853608344124e-14,1.853296342519004e-14,1779854564.646799
-3.993076270505434e-14,1.8594352682656797e-14,1779854564.6867604
-4.0037305908934646e-14,1.865550612200025e-14,1779854564.746805
-4.014402250337777e-14,1.8716733422573664e-14,1779854564.786681
-4.025082398252502e-14,1.877798370936928e-14,1779854564.8466854
-4.035749201434831e-14,1.8839131768984602e-14,1779854564.886675
-4.040797553442818e-14,1.8884636419370734e-14,1779854564.9269826
-4.0457183782019955e-14,1.8913068194910747e-14,1779854564.9467075
-4.056384024994048e-14,1.897468448706208e-14,1779854564.9867356
-4.067026969256238e-14,1.9036151914565413e-14,1779854565.0466628
-4.077693541955578e-14,1.9097738098082086e-14,1779854565.086692
-4.088352854839447e-14,1.9159264633757454e-14,1779854565.147095
-4.0989939808798717e-14,1.9220668507977642e-14,1779854565.1867228
-4.1096511672928764e-14,1.9282147379477464e-14,1779854565.2467556
-4.1203230450207686e-14,1.9343693276568093e-14,1779854565.2867033
-4.1309865929464666e-14,1.9405173402769556e-14,1779854565.3467627
-4.141648823366084e-14,1.946662822081078e-14,1779854565.386929
-4.1522967224637917e-14,1.9527982753831853e-14,1779854565.4467916
-4.162949197987754e-14,1.9589345994436116e-14,1779854565.4867222
-4.1736281118397105e-14,1.965084382217805e-14,1779854565.5468833
-4.1842901505006155e-14,1.971222674683601e-14,1779854565.5868413
-4.194959055745449e-14,1.9773631501774306e-14,1779854565.6468937
-4.205614437447326e-14,1.9834940735331076e-14,1779854565.686852
-4.216284465872762e-14,1.9896316558765533e-14,1779854565.7468839
0.0002816118138994089,-0.00016206210280894412,1779854565.7868464
0.0009540601021115428,-0.000548807645550698,1779854565.846913
0.003451432531884965,-0.001984995708181159,1779854565.8868525
