x,y,t
-2.5363390623699183e-15,-1.0738549103580916e-15,1779933769.9500582
-2.5467438299519984e-15,-1.0790916056233453e-15,1779933769.9896264
-2.549425448723458e-15,-1.0804659348982949e-15,1779933770.009714
-2.5625381561306625e-15,-1.0870908304856337e-15,1779933770.0497851
-2.5726357138612895e-15,-1.0921746279223123e-15,1779933770.0895734
-2.575689613943619e-15,-1.0937358456154455e-15,1779933770.1095948
-2.588892266431568e-15,-1.1004280002577818e-15,1779933770.1497328
-2.598536179005147e-15,-1.105286216937019e-15,1779933770.18965
-2.602006700190061e-15,-1.1070547272329625e-15,1779933770.2099056
-2.615159964473513e-15,-1.1137015734626892e-15,1779933770.2496822
-2.6244597136899593e-15,-1.1183879431473375e-15,1779933770.2896678
-2.6283124314750455e-15,-1.1203657520213238e-15,1779933770.30979
-2.6413925101347505e-15,-1.12697611909461e-15,1779933770.349794
-2.6503457124121723e-15,-1.131490141997666e-15,1779933770.3897474
-2.6545084096095416e-15,-1.1336050465069375e-15,1779933770.4096813
-2.667629239273475e-15,-1.1402369356033592e-15,1779933770.4496822
-2.6762540501309522e-15,-1.1445867234834129e-15,1779933770.4896083
-2.680771583692471e-15,-1.1468936196319709e-15,1779933770.5097663
-2.6892037519755666e-15,-1.1511475309147513e-15,1779933770.5497572
-2.6938411397625136e-15,-1.1535000123128444e-15,1779933770.569782
-2.7021701213882807e-15,-1.1577024604903985e-15,1779933770.5895522
-2.7069831883521617e-15,-1.1601434006967465e-15,1779933770.6096296
-2.715115007661291e-15,-1.1642469454735872e-15,1779933770.6498322
-2.720154980406981e-15,-1.1668128912503775e-15,1779933770.6699412
-2.7280549847465e-15,-1.1708004778979978e-15,1779933770.6895888
-2.733224932737205e-15,-1.1734202885910378e-15,1779933770.7096863
-2.741002889336791e-15,-1.1773467780202864e-15,1779933770.7498713
-2.746329827585892e-15,-1.180045690881795e-15,1779933770.7698925
-2.753966839221153e-15,-1.1839015207856066e-15,1779933770.789575
-2.7594523724610104e-15,-1.1866803508878842e-15,1779933770.8098102
-2.7669442479722752e-15,-1.19046337998378e-15,1779933770.849954
-2.772616524287298e-15,-1.1933441361788584e-15,1779933770.869864
-2.7798905561660904e-15,-1.1970179330218793e-15,1779933770.8899977
-2.785683011296192e-15,-1.1999508256633107e-15,1779933770.909567
-2.792837456401371e-15,-1.2035646398231022e-15,1779933770.9496527
-2.798784651987066e-15,-1.2065755662976426e-15,1779933770.9697108
-2.805774236853898e-15,-1.2101065051294048e-15,1779933770.9895852
-2.811891867103721e-15,-1.2132033869594532e-15,1779933771.0095482
-2.818742733926824e-15,-1.2166646301042421e-15,1779933771.049656
-2.8250722947670955e-15,-1.2198737207835264e-15,1779933771.069862
-2.8316765189597005e-15,-1.2232109035931216e-15,1779933771.0896218
-2.838151961618306e-15,-1.2264879071594224e-15,1779933771.1096368
-2.8446394266327588e-15,-1.2297664171690503e-15,1779933771.1497638
-2.851324932527352e-15,-1.233149477221079e-15,1779933771.16966
-2.8576048435335585e-15,-1.2363234059459025e-15,1779933771.1897213
-2.8645465509005066e-15,-1.2398393953500714e-15,1779933771.2096343
-2.870532889530733e-15,-1.2428653518200168e-15,1779933771.2498262
-2.877637924569784e-15,-1.2464600191944722e-15,1779933771.2696517
-2.8834856108294342e-15,-1.2494161498683746e-15,1779933771.2897522
-2.890759365098283e-15,-1.2530960281686293e-15,1779933771.3297951
-2.8964377093343223e-15,-1.2559667964725023e-15,1779933771.349685
-2.9038931494064825e-15,-1.2597384526363044e-15,1779933771.3698506
-2.90938937547942e-15,-1.2625173755881279e-15,1779933771.389599
-2.917107513292544e-15,-1.266423522737843e-15,1779933771.4298463
-2.922359660097635e-15,-1.2690792973897388e-15,1779933771.4499483
