x,y,t
-0.00032725316579232546,-1.4290432364337202e-06,1777019620.5953891
-0.0003272531622589143,-1.4290432579419319e-06,1777019620.6154294
-0.0003272531659777432,-1.4290433025038221e-06,1777019620.6354454
-0.0003272531644199427,-1.4290433024123038e-06,1777019620.6561549
-0.0003272531584156828,-1.4290432803326083e-06,1777019620.6754682
-0.00032725316655707044,-1.429043315110474e-06,1777019620.6954708
-0.0003272531633611864,-1.429043292529885e-06,1777019620.715535
-0.0003272531669993601,-1.4290433152970516e-06,1777019620.735532
-0.00032725316559770683,-1.4290433068059683e-06,1777019620.7553916
-0.0003272531601738275,-1.4290432783673288e-06,1777019620.7754827
-0.0003272531672079728,-1.4290433078641215e-06,1777019620.7955465
-0.0003272531660479794,-1.4290433340357756e-06,1777019620.83545
-0.0003272531647734607,-1.4290433588938986e-06,1777019620.8554099
-0.0003272531598590625,-1.429043365268285e-06,1777019620.8755035
-0.0003272531660150283,-1.4290433969252072e-06,1777019620.895559
-0.0003272531625616505,-1.4290433896334296e-06,1777019620.9155436
-0.000327253166064583,-1.4290434079494907e-06,1777019620.9356062
-0.0003272531649148682,-1.4290434216534002e-06,1777019620.9555466
-0.00032725316047200884,-1.4290434198880588e-06,1777019620.9755566
-0.00032725316617112824,-1.4290434434305544e-06,1777019620.995869
-0.00032725316305173277,-1.4290434431050538e-06,1777019621.0158417
-0.00032725316670748273,-1.4290434529423158e-06,1777019621.0355525
-0.0003272531616419114,-1.4290434316206273e-06,1777019621.0754795
-0.0003272531655920338,-1.4290434410085054e-06,1777019621.0960004
-0.0003272531627628523,-1.429043442556059e-06,1777019621.1153555
-0.00032725316593609863,-1.4290434537086572e-06,1777019621.1360517
-0.00032725316436368093,-1.4290434433585905e-06,1777019621.155703
-0.0003272531648782871,-1.4290434589716172e-06,1777019621.19618
-0.00032725316232334065,-1.4290434560050662e-06,1777019621.2154453
-0.000327253165200592,-1.429043461512827e-06,1777019621.2359881
-0.0003272531637743445,-1.429043447600901e-06,1777019621.2558064
-0.0003272531599502514,-1.429043425662372e-06,1777019621.2753086
-0.00032725316552726963,-1.4290434407935232e-06,1777019621.2957444
-0.0003272531630279487,-1.429043431922334e-06,1777019621.3158615
-0.00032725316545648614,-1.429043441598161e-06,1777019621.3358042
-0.00032725316415933717,-1.4290434373969261e-06,1777019621.3556828
-0.00032725316069372103,-1.4290434316171119e-06,1777019621.3751867
-0.00032725316521934304,-1.4290434442571228e-06,1777019621.3957903
-0.00032725316491741887,-1.4290434546867558e-06,1777019621.4358873
-0.00032725316374946663,-1.429043455070371e-06,1777019621.455903
-0.00032725316061847024,-1.4290434570468396e-06,1777019621.4754336
-0.0003272531646262998,-1.4290434712503362e-06,1777019621.495863
-0.0003272531623129553,-1.429043464367905e-06,1777019621.5157444
-0.0003272531652203845,-1.4290434731235375e-06,1777019621.5354755
-0.00032725316415809847,-1.4290434741179095e-06,1777019621.5557487
-0.00032725316132064045,-1.429043472139904e-06,1777019621.5756757
-0.00032725316505233346,-1.4290434894572338e-06,1777019621.5954902
-0.0003272531629628942,-1.429043490871712e-06,1777019621.6154997
-0.00032725316556065905,-1.4290434971714868e-06,1777019621.635753
-0.0003272531620591287,-1.429043496311791e-06,1777019621.675523
-0.0003272531644961435,-1.4290435015163114e-06,1777019621.6958697
-0.00032725316260147754,-1.429043494996502e-06,1777019621.716013
-0.00032725316485321567,-1.4290435010896183e-06,1777019621.735772
-0.00032725316357607473,-1.4290434961869713e-06,1777019621.7557058
-0.0003272531642455909,-1.4290435019105866e-06,1777019621.7958765
-0.0003272531625348315,-1.42904349808367e-06,1777019621.8158698
-0.0003272531646208402,-1.4290434981544258e-06,1777019621.8355353
-0.00032725316346475167,-1.4290434887674347e-06,1777019621.8557148
-0.0003272531610716357,-1.4290434802789275e-06,1777019621.875691
-0.00032725316473161914,-1.4290434885112636e-06,1777019621.8955615
-0.0003272531628920715,-1.4290434883600464e-06,1777019621.9158273
-0.00032725316442655305,-1.4290434935421569e-06,1777019621.9361582
-0.0003272531633774654,-1.4290434886705504e-06,1777019621.9557335
-0.0003272531612089651,-1.4290434851605497e-06,1777019621.975727
-0.0003272531639803627,-1.429043495964778e-06,1777019621.9957662
-0.0003272531639912156,-1.4290434954296267e-06,1777019622.0358796
-0.00032725316304539517,-1.4290434905219622e-06,1777019622.0555694
-0.000327253161086679,-1.4290434867503223e-06,1777019622.075711
-0.0003272531635715381,-1.4290434915689388e-06,1777019622.0958197
-0.0003272531620720586,-1.4290434901018178e-06,1777019622.115597
-0.00032725316417842975,-1.4290434953843782e-06,1777019622.1358356
-0.0003272531633148721,-1.4290434903985944e-06,1777019622.1555953
-0.00032725316154454944,-1.4290434864248243e-06,1777019622.175447
-0.00032725316383999393,-1.4290434938650473e-06,1777019622.196094
-0.00032725316248668096,-1.4290434949880078e-06,1777019622.2153575
-0.0003272531642638877,-1.4290435006508553e-06,1777019622.2353451
-0.00032725316199607737,-1.4290434945595021e-06,1777019622.2758155
-0.0003272531636855245,-1.4290434943867074e-06,1777019622.2957697
-0.0003272531624611098,-1.4290434865454104e-06,1777019622.3157594
-0.0003272531640222233,-1.4290434880446098e-06,1777019622.3354945
-0.0003272531631405091,-1.4290434859048924e-06,1777019622.3555677
-0.00032725316380063,-1.4290434924307063e-06,1777019622.3954694
-0.00032725316269266344,-1.4290434954014635e-06,1777019622.4157841
-0.0003272531641397946,-1.4290435022989078e-06,1777019622.4358425
-0.0003272531633414829,-1.429043501280763e-06,1777019622.4556727
-0.000327253161864436,-1.4290434976364075e-06,1777019622.4757636
-0.00032725316430596066,-1.4290435023303744e-06,1777019622.4955149
-0.0003272531629985664,-1.4290435016343971e-06,1777019622.5157638
-0.000327253163969499,-1.4290435031840723e-06,1777019622.5355322
-0.0003272531632501212,-1.4290435035139162e-06,1777019622.555275
-0.00032725316191659494,-1.4290435012808206e-06,1777019622.5752845
-0.0003272531640785925,-1.4290435051202793e-06,1777019622.595321
-0.0003272531636398466,-1.4290435046734831e-06,1777019622.615682
-0.00032725316382946606,-1.429043502911859e-06,1777019622.6357856
-0.0003272531631762706,-1.4290435014464456e-06,1777019622.655748
-0.0003272531619673134,-1.4290435008046439e-06,1777019622.6755672
-0.00032725316394072656,-1.4290435046301716e-06,1777019622.6956024
-0.0003272531635434485,-1.4290435049357466e-06,1777019622.715785
-0.00032725316400542605,-1.4290435087867094e-06,1777019622.7354548
-0.0003272531633418608,-1.429043507623877e-06,1777019622.7556434
-0.00032725316224835685,-1.429043505083711e-06,1777019622.775607
-0.0003272531639467731,-1.4290435077108063e-06,1777019622.7956884
-0.00032725316358716194,-1.429043507383321e-06,1777019622.8157017
-0.00032725316399161755,-1.4290435100861653e-06,1777019622.8357198
-0.0003272531638408066,-1.4290435101218898e-06,1777019622.8556945
-0.00032725316379690774,-1.4290435084311648e-06,1777019622.8963993
