x,y,t
-2.1715647617151757e-05,1.1252931022845158e-06,1779851733.0466883
-2.171564761727054e-05,1.1252931022456531e-06,1779851733.0866585
-2.171564761736857e-05,1.1252931021945173e-06,1779851733.146994
-2.171564761745436e-05,1.1252931021355924e-06,1779851733.1865897
-2.1715647617519956e-05,1.1252931020695291e-06,1779851733.2467966
-2.1715647617577002e-05,1.1252931020001997e-06,1779851733.2866974
-2.1715647617618693e-05,1.1252931019279262e-06,1779851733.346544
-2.171564761765128e-05,1.1252931018548345e-06,1779851733.386831
-2.1715647617672513e-05,1.1252931017815957e-06,1779851733.4468048
-2.1715647617687238e-05,1.1252931017094732e-06,1779851733.4867666
-2.1715647617692398e-05,1.1252931016387934e-06,1779851733.5468485
-2.1715647617689874e-05,1.1252931015702477e-06,1779851733.5869002
-2.1715647617683365e-05,1.1252931015043394e-06,1779851733.6466815
-2.171564761766951e-05,1.125293101441208e-06,1779851733.6867988
-2.171564761765107e-05,1.1252931013811616e-06,1779851733.7470336
-2.1715647564660404e-05,1.2028199836468586e-06,1779851733.786926
-2.1715647564596978e-05,1.2028199836879702e-06,1779851733.8469272
-2.171564756455651e-05,1.2028199837083524e-06,1779851733.8868952
-2.1715647564520593e-05,1.2028199837178932e-06,1779851733.946735
-2.1715647564484302e-05,1.2028199837205046e-06,1779851733.9867506
-2.1715647564446538e-05,1.2028199837181608e-06,1779851734.0468254
-2.171564756440775e-05,1.2028199837122407e-06,1779851734.0867653
-2.1715647564366883e-05,1.2028199837033593e-06,1779851734.1468976
-2.171564756432399e-05,1.2028199836922348e-06,1779851734.186979
-2.1715647564280276e-05,1.2028199836796678e-06,1779851734.246829
-2.171564756423488e-05,1.2028199836659391e-06,1779851734.286835
-2.1715647564188373e-05,1.2028199836515264e-06,1779851734.3468716
-2.171564756414036e-05,1.2028199836366794e-06,1779851734.3871288
-2.1715647564091472e-05,1.2028199836217437e-06,1779851734.4468775
-2.1715647564041673e-05,1.2028199836069115e-06,1779851734.4867961
-2.171564756399079e-05,1.202819983592335e-06,1779851734.5469158
-2.1715647563939162e-05,1.2028199835781831e-06,1779851734.5867548
-2.1715647563886697e-05,1.2028199835645577e-06,1779851734.6467824
-2.1715647563833568e-05,1.2028199835515558e-06,1779851734.6867554
-2.171564754815284e-05,1.2811873892923579e-06,1779851734.7468514
-2.1715647548095424e-05,1.2811873892909768e-06,1779851734.7868063
-2.1715647548039808e-05,1.281187389284318e-06,1779851734.8468413
-2.1715647547984622e-05,1.2811873892752683e-06,1779851734.8869126
-2.1715647547929406e-05,1.2811873892648325e-06,1779851734.9469712
-2.1715647547874003e-05,1.2811873892534608e-06,1779851734.9867215
-2.171564754781849e-05,1.2811873892414758e-06,1779851735.0469284
-2.171564754776273e-05,1.2811873892290271e-06,1779851735.0868661
-2.1715647547706785e-05,1.2811873892162882e-06,1779851735.146689
-2.1715647547650634e-05,1.2811873892033807e-06,1779851735.187023
-2.171564754759428e-05,1.2811873891904098e-06,1779851735.2468083
-2.1715647547537704e-05,1.281187389177458e-06,1779851735.286799
-2.171564754748096e-05,1.2811873891646086e-06,1779851735.3467925
-2.171564754742401e-05,1.2811873891519111e-06,1779851735.386683
-2.171564754736683e-05,1.2811873891394115e-06,1779851735.4467463
-2.1715647547309507e-05,1.2811873891271678e-06,1779851735.4868526
-2.1715647547252047e-05,1.2811873891152155e-06,1779851735.546956
-2.1715647547194364e-05,1.281187389103561e-06,1779851735.586976
-2.171564754713655e-05,1.2811873890922472e-06,1779851735.6469038
-2.1715647547078555e-05,1.2811873890812815e-06,1779851735.687033
-2.171564755125458e-05,1.340640736192448e-06,1779851735.746953
-2.1715647551200305e-05,1.3406407361768544e-06,1779851735.7868998
-2.1715647551143364e-05,1.340640736159251e-06,1779851735.846998
-2.171564755108685e-05,1.340640736141459e-06,1779851735.8870592
-2.1715647551030543e-05,1.3406407361236332e-06,1779851735.9468617
-2.1715647550974073e-05,1.3406407361057517e-06,1779851735.9868839
-2.171564755091758e-05,1.340640736087913e-06,1779851736.0468595
-2.1715647550861085e-05,1.3406407360701594e-06,1779851736.0866542
-2.1715647550804337e-05,1.3406407360524388e-06,1779851736.1468325
-2.1715647550747593e-05,1.340640736034855e-06,1779851736.186574
-2.171564755069077e-05,1.3406407360174022e-06,1779851736.2470536
-2.1715647550633843e-05,1.3406407360000865e-06,1779851736.2868724
-2.1715647550576923e-05,1.3406407359829567e-06,1779851736.3465366
-0.00033424285525819456,9.226379204530507e-05,1779851736.3870227
-0.0010796837409226855,0.00031003533830890466,1779851736.446751
-0.001981727825708805,0.000572192485984599,1779851736.4871182
-0.004411828828783714,0.001267336192825577,1779851736.5470393
-0.00890413786804561,0.0025381199614577356,1779851736.5869548
-0.015785572836974123,0.0044587375549003,1779851736.6469202
-0.025194712904839593,0.007046502478325485,1779851736.6867337
-0.037395100522234465,0.014332203259133692,1779851736.746783
-0.0465904582732781,0.017947677243772213,1779851736.786997
-0.06081930792428915,0.023606062874801863,1779851736.8464987
-0.07732538376986155,0.03017540483592705,1779851736.8865912
-0.09622602757875258,0.03768143958279047,1779851736.9468362
-0.11593111713497335,0.04553580369763361,1779851736.9868927
-0.13635001375135486,0.05363088286985323,1779851737.0464995
-0.1572984379484315,0.06188755777290404,1779851737.0869074
-0.17870068639708797,0.07027849427012214,1779851737.1468153
-0.2003837414010516,0.07872997399543437,1779851737.1869295
-0.2222614744009489,0.08721088825865977,1779851737.2465012
-0.244275492297594,0.09569220722640873,1779851737.28697
-0.26645519357595016,0.10418598646094633,1779851737.3465707
